,StudentNumber,DPS_HomeLg,CYI_Lat,CYI_Deg,Disability,GT_C,FRL_C,Sect504_C,SPED_C,t_grade,time_t,time_t1
832,648174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,4,486,466
833,648174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,5,466,548
834,648174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,6,548,576
835,648907,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3,459,442
836,648907,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4,442,524
837,648907,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5,524,526
838,648907,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6,526,533
839,649562,1.0,1.0,0.0,0.0,0.0,0.8888888890000001,0.0,0.8888888890000001,4,497,550
840,649562,1.0,1.0,0.0,0.0,0.0,0.8888888890000001,0.0,0.8888888890000001,5,550,579
841,649937,1.0,0.0,0.0,0.0,1.0,0.833333333,0.833333333,0.0,3,625,661
842,649937,1.0,0.0,0.0,0.0,1.0,0.833333333,0.833333333,0.0,4,661,669
843,650269,0.0,0.0,0.0,0.0,0.0,1.0,0.4166666670000001,0.583333333,4,470,546
844,650269,0.0,0.0,0.0,0.0,0.0,1.0,0.4166666670000001,0.583333333,5,546,587
845,650269,0.0,0.0,0.0,0.0,0.0,1.0,0.4166666670000001,0.583333333,6,587,600
855,652614,0.0,1.0,0.0,0.0,0.583333333,1.0,0.166666667,0.0,3,527,578
856,652614,0.0,1.0,0.0,0.0,0.583333333,1.0,0.166666667,0.0,4,578,608
857,652614,0.0,1.0,0.0,0.0,0.583333333,1.0,0.166666667,0.0,5,608,629
858,652614,0.0,1.0,0.0,0.0,0.583333333,1.0,0.166666667,0.0,6,629,673
859,652614,0.0,1.0,0.0,0.0,0.583333333,1.0,0.166666667,0.0,7,673,654
860,653118,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.916666667,3,457,545
861,653118,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.916666667,4,545,584
862,653118,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.916666667,5,584,575
863,653118,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.916666667,6,575,606
864,653118,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.916666667,7,606,644
865,653601,1.0,1.0,0.0,0.0,0.5,0.166666667,0.083333333,0.916666667,3,586,618
866,653601,1.0,1.0,0.0,0.0,0.5,0.166666667,0.083333333,0.916666667,4,618,642
867,653601,1.0,1.0,0.0,0.0,0.5,0.166666667,0.083333333,0.916666667,5,642,676
868,654531,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3,497,537
869,654531,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4,537,529
870,656592,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,514,593
871,656592,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4,593,597
872,656592,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5,597,593
873,657414,1.0,0.0,0.0,0.0,0.583333333,0.0,0.833333333,0.0,3,520,597
874,657414,1.0,0.0,0.0,0.0,0.583333333,0.0,0.833333333,0.0,4,597,649
